1.190216414676537653e+02,9.264810887993474964e+00,2.832196969696969546e+01,6.628787878787878451e-01,2.237602959979664297e-01,3.787878787878787984e-03,5.984848484848485128e+01,1.320000000000000000e+02,1.228892958750019915e+02,1.027343638309674034e+01,2.808749999999999858e+01,8.375000000000000222e-01,3.193812578916549461e-01,5.397500000000000142e+01,4.000000000000000000e+01,-2.468884597881994836e+01,2.667661428451538086e+00,7.686094045639038086e-01,-8.365324401855468750e+01
1.080549837591926234e+02,8.247773187692484242e+00,1.483712121212121282e+01,1.087121212121212155e+00,3.895537356535593854e-01,0.000000000000000000e+00,4.144318181818182012e+01,1.320000000000000000e+02,1.012492385751390884e+02,7.451827535698675398e+00,1.468644067796610209e+01,1.322033898305084776e+00,5.331182631395631200e-01,3.472881355932203462e+01,5.900000000000000000e+01,-9.916063026663531232e+00,3.093977928161621094e+00,7.736530900001525879e-01,-8.121205902099609375e+01
1.027839701569728845e+02,7.343687359085495636e+00,9.405303030303031164e+00,1.140151515151515138e+00,4.221615425565026225e-01,3.787878787878787984e-03,3.257575757575757791e+01,1.320000000000000000e+02,9.487134941560351820e+01,6.730824249865741571e+00,8.197916666666666075e+00,1.187500000000000000e+00,5.297391439477602271e-01,2.527083333333333215e+01,4.800000000000000000e+01,-2.853806611120303760e+00,6.356486320495605469e+00,2.102085590362548828e+00,-7.781752777099609375e+01
9.962092874566698697e+01,7.285334775150056785e+00,9.390151515151515582e+00,1.087121212121212155e+00,4.243834781827348634e-01,0.000000000000000000e+00,3.332575757575757791e+01,1.320000000000000000e+02,9.502281761236102398e+01,6.866505355994270587e+00,9.535087719298244835e+00,1.403508771929824483e+00,5.886690679349397826e-01,2.739473684210526372e+01,5.700000000000000000e+01,-4.202377035246358083e+00,6.517395496368408203e+00,3.356644153594970703e+00,-7.730503845214843750e+01
9.747046823515064773e+01,7.152604414437313984e+00,9.189393939393939448e+00,1.170454545454545414e+00,4.697041425741080301e-01,3.787878787878787984e-03,3.304924242424242209e+01,1.320000000000000000e+02,9.424372772925586617e+01,6.826374296512870643e+00,9.877358490566038540e+00,1.716981132075471761e+00,7.911313198647409450e-01,2.795283018867924696e+01,5.300000000000000000e+01,-4.545579221327988861e+00,9.056613922119140625e+00,2.417853832244873047e+00,-8.077380371093750000e+01
9.987572255744875349e+01,7.460691335915288214e+00,7.295454545454545858e+00,1.090909090909090828e+00,4.365164560802055060e-01,3.787878787878787984e-03,3.144318181818181657e+01,1.320000000000000000e+02,9.630767311942747710e+01,7.226427217406710568e+00,5.931372549019608087e+00,1.264705882352941124e+00,6.318342323396720639e-01,2.512745098039215819e+01,5.100000000000000000e+01,-6.339014723137051943e-01,7.901318073272705078e+00,4.572778701782226562e+00,-6.772523498535156250e+01
1.010044192924710273e+02,7.621282761626110513e+00,7.344696969696969724e+00,9.318181818181817677e-01,3.864833857073928236e-01,1.515151515151515194e-02,3.250000000000000000e+01,1.320000000000000000e+02,9.567177342424457720e+01,7.286142550994663125e+00,7.736842105263157521e+00,1.122807017543859587e+00,5.456763171313101513e-01,2.747368421052631504e+01,5.700000000000000000e+01,-2.593706934668837061e+00,1.069889736175537109e+01,7.008004188537597656e+00,-7.085392761230468750e+01
9.932398972830389994e+01,7.253717692282040552e+00,1.147348484848484773e+01,7.348484848484848619e-01,2.895579062628023670e-01,0.000000000000000000e+00,3.833333333333333570e+01,1.320000000000000000e+02,9.575172284520800758e+01,6.881071245275017567e+00,1.053906250000000000e+01,6.718750000000000000e-01,3.100308151915669441e-01,3.189062500000000000e+01,6.400000000000000000e+01,-5.408007637733012629e+00,1.054164695739746094e+01,7.314028739929199219e+00,-6.738579559326171875e+01
1.026597071763897446e+02,8.077413954449156108e+00,8.935606060606060552e+00,8.825757575757575690e-01,3.620505513566912859e-01,7.575757575757575968e-03,3.520454545454545325e+01,1.320000000000000000e+02,9.873118402608380961e+01,7.815254123050802804e+00,7.389999999999999680e+00,1.399999999999999911e+00,5.808243286609650058e-01,2.851000000000000156e+01,5.000000000000000000e+01,-2.369135274422432769e+00,1.242721176147460938e+01,1.446994400024414062e+01,-6.903976440429687500e+01
1.029107557184321564e+02,7.730946604066403438e+00,1.162878787878787890e+01,7.386363636363636465e-01,2.508934031833301992e-01,0.000000000000000000e+00,3.927272727272727337e+01,1.320000000000000000e+02,1.002253507429831387e+02,7.718894300699052913e+00,1.243750000000000000e+01,8.541666666666666297e-01,2.921533087889353619e-01,3.501041666666666430e+01,4.800000000000000000e+01,-7.618461525238337195e+00,9.845085144042968750e+00,5.237009048461914062e+00,-6.971095275878906250e+01
9.679751383934365094e+01,7.205293909389264506e+00,8.143939393939394478e+00,5.568181818181817677e-01,2.047939679839394234e-01,0.000000000000000000e+00,3.419318181818182012e+01,1.320000000000000000e+02,9.170237378801303407e+01,7.200073389853880457e+00,7.238636363636363313e+00,7.045454545454545858e-01,2.815195159478621201e-01,2.879545454545454675e+01,4.400000000000000000e+01,-2.127749951069696888e+00,1.024232006072998047e+01,2.098184967041015625e+01,-6.139649963378906250e+01
9.252660606466542959e+01,6.735789479430625448e+00,6.859848484848484418e+00,6.325757575757575690e-01,2.761980724154096678e-01,0.000000000000000000e+00,3.301515151515151558e+01,1.320000000000000000e+02,9.122171585840135322e+01,6.899145787754224379e+00,7.156862745098039547e+00,6.764705882352941568e-01,2.927912730796664587e-01,2.882352941176470651e+01,5.100000000000000000e+01,-1.880318156517170047e+00,1.227786445617675781e+01,1.098995494842529297e+01,-6.266214752197265625e+01
9.291515987890797135e+01,6.536811200461807303e+00,8.795454545454544970e+00,6.931818181818182323e-01,2.154245489474498898e-01,6.060606060606060774e-02,3.443181818181817988e+01,1.320000000000000000e+02,8.998394401813341403e+01,6.236538889787375695e+00,7.867346938775510168e+00,7.346938775510204467e-01,3.092727052922151776e-01,2.901020408163265429e+01,4.900000000000000000e+01,-2.596620576573927419e+00,1.330483150482177734e+01,9.335377693176269531e+00,-5.049905395507812500e+01
9.474095805074692578e+01,6.723801448156937255e+00,8.382575757575757791e+00,9.280303030303029832e-01,3.753526572025183694e-01,0.000000000000000000e+00,3.506060606060606233e+01,1.320000000000000000e+02,9.097050142829593256e+01,6.292283554471143070e+00,7.640625000000000000e+00,9.140625000000000000e-01,4.472470702603459358e-01,2.910156250000000000e+01,6.400000000000000000e+01,-2.302913992112115338e+00,1.056028175354003906e+01,5.122056007385253906e+00,-5.452018356323242188e+01
9.438911773717744325e+01,6.701291381037417061e+00,7.666666666666666963e+00,7.954545454545454142e-01,4.047738449140028671e-01,0.000000000000000000e+00,3.387878787878787534e+01,1.320000000000000000e+02,9.352010708016619844e+01,6.785276770776813571e+00,7.855769230769230838e+00,1.182692307692307709e+00,6.476036493594830024e-01,2.976923076923077005e+01,5.200000000000000000e+01,-2.709353637649869917e+00,1.581896591186523438e+01,5.731487751007080078e+00,-4.368789291381835938e+01
9.230685630332487790e+01,6.422057926435267738e+00,7.500000000000000000e+00,7.007575757575758013e-01,2.873362054427464618e-01,0.000000000000000000e+00,3.231060606060606233e+01,1.320000000000000000e+02,8.775617816550867190e+01,5.961913283244991035e+00,6.472222222222222321e+00,7.685185185185184897e-01,3.980837000740898857e-01,2.603703703703703809e+01,5.400000000000000000e+01,-1.049859576621536617e+00,1.153213882446289062e+01,6.036200046539306641e+00,-3.574430847167968750e+01
